Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF","C_0402_1005Metric",180.600000,-87.760000,-90.000000,bottom
"C2","2.2uF","C_0402_1005Metric",181.630000,-87.760000,-90.000000,bottom
"C4","100nF","C_0402_1005Metric",214.335000,-88.880000,-90.000000,bottom
"C14","22uF","C_0603_1608Metric",242.317468,-70.405864,0.000000,bottom
"C15","100nF","C_0402_1005Metric",242.192468,-71.650864,0.000000,bottom
"C16","100nF","C_0402_1005Metric",152.453539,-77.781632,0.000000,bottom
"C19","22uF","C_0603_1608Metric",244.145000,-64.875000,0.000000,bottom
"C20","22uF","C_0603_1608Metric",244.630000,-67.140000,-90.000000,bottom
"C61","100nF","C_0402_1005Metric",241.105000,-84.560000,-90.000000,bottom
"C62","10uF","C_0603_1608Metric",239.065000,-85.560000,0.000000,bottom
"C63","100nF","C_0402_1005Metric",242.135000,-84.560000,-90.000000,bottom
"C66","100nF","C_0402_1005Metric",141.990000,-74.560000,90.000000,bottom
"C67","100nF","C_0402_1005Metric",141.980000,-76.480000,-90.000000,bottom
"C88","100nF","C_0402_1005Metric",204.550000,-64.590000,90.000000,bottom
"C89","1uF","C_0402_1005Metric",206.590000,-64.590000,90.000000,bottom
"C90","33pF","C_0402_1005Metric",208.650000,-64.590000,90.000000,bottom
"C91","33pF","C_0402_1005Metric",204.240000,-61.490000,90.000000,bottom
"C92","33pF","C_0402_1005Metric",205.570000,-64.590000,90.000000,bottom
"C93","33pF","C_0402_1005Metric",202.170000,-61.490000,90.000000,bottom
"CN1","B4B-ZR-SM4-TFT(LF)(SN)","CONN-TH_B4B-ZR-SM4-TFT-LF-SN",235.455000,-62.802500,180.000000,bottom
"CN2","B4B-ZR-SM4-TFT(LF)(SN)","CONN-TH_B4B-ZR-SM4-TFT-LF-SN",214.405000,-62.802500,180.000000,bottom
"CN3","B4B-ZR-SM4-TFT(LF)(SN)","CONN-TH_B4B-ZR-SM4-TFT-LF-SN",224.925000,-62.802500,180.000000,bottom
"D3","ESD9L5_0ST5G-N","X1-DFN1006-2_L1.0-W0.6-RD",239.065000,-81.140001,180.000000,bottom
"D4","ESD9L5_0ST5G-N","X1-DFN1006-2_L1.0-W0.6-RD",239.065000,-84.335000,180.000000,bottom
"F4","0603L020/6XR","F0603",193.325000,-88.351634,90.000000,bottom
"Q2","MMBT3904T","SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR",183.287778,-88.843547,0.000000,bottom
"R1","10K","R_0402_1005Metric",212.815000,-88.400000,0.000000,bottom
"R2","10K","R_0402_1005Metric",202.840000,-88.710000,-90.000000,bottom
"R4","1K","R_0402_1005Metric",152.070000,-82.875000,180.000000,bottom
"R8","100R","R_0402_1005Metric",152.485001,-76.740000,180.000000,bottom
"R9","732K","R_0402_1005Metric",243.405000,-67.600000,-90.000000,bottom
"R10","100K","R_0402_1005Metric",243.915001,-69.120000,0.000000,bottom
"R11","1K","R_0402_1005Metric",152.485001,-75.690000,180.000000,bottom
"R12","NC","R_0402_1005Metric",148.100000,-89.370000,0.000000,bottom
"R15","10K","R_0402_1005Metric",185.430000,-89.340002,0.000000,bottom
"R16","1K","R_0402_1005Metric",185.429999,-88.345000,180.000000,bottom
"R35","10K","R_0402_1005Metric",145.410000,-71.430000,0.000000,bottom
"R36","4.7K","R_0402_1005Metric",239.065000,-82.220000,0.000000,bottom
"R38","4.7K","R_0402_1005Metric",239.065000,-83.260000,0.000000,bottom
"R43","100R","R_0402_1005Metric",141.480000,-72.040000,0.000000,bottom
"R44","3296W-1-103LF","RES-ADJ-TH_3296W",166.620000,-62.250000,-90.000000,bottom
"R45","10K","R_0402_1005Metric",141.480000,-73.080000,180.000000,bottom
"R47","10K","R_0402_1005Metric",144.875000,-78.140000,180.000000,bottom
"R50","4.7K","R_0402_1005Metric",159.420000,-66.370000,90.000000,bottom
"R51","4.7K","R_0402_1005Metric",155.760000,-65.280000,0.000000,bottom
"R67","22R","R_0402_1005Metric",207.620000,-64.590000,-90.000000,bottom
"R68","22R","R_0402_1005Metric",201.140000,-61.490000,-90.000000,bottom
"R69","22R","R_0402_1005Metric",203.210000,-61.490000,-90.000000,bottom
"R71","1K","R_0402_1005Metric",197.905000,-60.315000,180.000000,bottom
"U2","1TS015A-2400-0600","SW-SMD_L3.0-W2.0-LS3.5",218.320000,-88.880000,180.000000,bottom
"U3","1TS015A-2400-0600","SW-SMD_L3.0-W2.0-LS3.5",197.070000,-88.880000,180.000000,bottom
"U7","TMUX1574RSVR","UQFN-16_L2.6-W1.8-P0.40-BL",184.190000,-63.940000,90.000000,bottom
